,brand,model,registration_year,fuel_type,seats,rto_state,transmission_type,ownership,engine(cc),kms_driven,engine_power(bhp),mileage(kmpl),has_parking_sensors,has_automatic_climate_control,has_rear_ac_vents,has_central_locking,has_air_purifier,vehicle_price(lakhs),new_vehicle_price(lakhs)
0,Toyota,Etios,2013,Diesel,5 Seats,Rajasthan,Manual,Fourth Owner,1364,150000,73.348,22.231,0,0,0,0,0,2.6,8.05
1,Toyota,Glanza,2024,Petrol,5 Seats,Punjab,Manual,First Owner,1197,10000,82.827,21.468,0,0,0,0,0,9.4,11.28
2,Hyundai,Creta,2017,Diesel,5 Seats,Haryana,Manual,First Owner,1396,75000,88.281,21.917,0,0,0,0,0,6.25,11.86
3,Volkswagen,Vento,2011,Diesel,5 Seats,Punjab,Manual,Third Owner,1598,160000,103.6,20.54,1,0,0,0,0,1.4,10.05
4,Hyundai,Verna,2014,Diesel,5 Seats,Uttar Pradesh,Manual,First Owner,1582,120000,126.3,22.32,1,1,0,0,0,4.0,11.87
5,Hyundai,Santro,2012,LPG,5 Seats,Punjab,Manual,Third Owner,1086,147000,62.1,10.76,0,0,0,1,0,1.0,4.71
6,Hyundai,i20,2023,Petrol,5 Seats,Haryana,Manual,First Owner,1197,9400,83.89,17.76,0,0,0,0,0,6.85,8.45
7,Tata,Harrier,2021,Diesel,5 Seats,Rajasthan,Manual,First Owner,1956,50000,167.67,16.35,0,1,0,0,1,15.0,25.54
8,Tata,Nexon,2019,Diesel,5 Seats,Haryana,Manual,Second Owner,1497,71000,108.5,21.5,1,0,0,0,0,5.1,10.39
9,Hyundai,Creta,2019,Diesel,5 Seats,Haryana,Manual,Second Owner,1396,81000,88.7,21.38,0,0,1,0,0,8.1,13.01
10,Mahindra,Bolero,2014,Diesel,7 Seats,Rajasthan,Manual,Third Owner,2523,196472,62.1,15.96,0,0,0,0,0,5.15,11.03
11,Mahindra,XUV500,2017,Diesel,7 Seats,Chandigarh,Manual,First Owner,2179,110000,140.0,16.0,0,1,0,0,1,6.9,19.82
12,Maruti,Swift,2020,Petrol,5 Seats,Haryana,Manual,First Owner,1197,65000,81.8,21.21,1,1,1,0,0,6.55,8.47
13,Mahindra,Bolero,2014,Diesel,7 Seats,Rajasthan,Manual,First Owner,2523,175847,62.1,15.96,0,0,0,0,0,5.4,9.95
14,Hyundai,Creta,2021,Diesel,5 Seats,Rajasthan,Manual,First Owner,1493,79000,113.98,18.697,1,0,1,0,0,11.0,14.28
15,Skoda,Octavia,2014,Diesel,5 Seats,Rajasthan,Manual,Second Owner,1968,90463,141.0,20.6,0,0,0,0,1,4.8,18.36
16,Maruti,Ciaz,2016,Diesel,5 Seats,Haryana,Manual,Second Owner,1248,80000,88.5,28.09,1,1,1,0,0,4.5,10.91
17,Honda,Mobilio,2014,Diesel,7 Seats,Haryana,Manual,Second Owner,1498,100000,98.6,24.2,0,0,0,0,0,3.5,10.16
18,Maruti,Swift,2012,Petrol,5 Seats,Delhi,Manual,First Owner,1197,84476,85.8,18.6,0,0,0,1,0,2.7,5.77
19,Maruti,Wagon,2010,CNG,5 Seats,Delhi,Manual,Second Owner,998,90000,58.2,26.2,0,0,0,1,0,1.2,4.95
20,Mahindra,TUV,2016,Diesel,7 Seats,Haryana,Manual,First Owner,1493,70000,100.0,18.49,1,0,0,0,0,4.25,11.48
21,Mahindra,Scorpio,2020,Diesel,7 Seats,Haryana,Manual,First Owner,2179,47000,140.0,16.36,0,1,0,0,1,14.0,18.53
22,Hyundai,Venue,2020,Petrol,5 Seats,Haryana,Manual,First Owner,998,34000,118.35,18.27,1,0,1,0,0,7.1,10.15
23,Mahindra,Scorpio,2024,Diesel,7 Seats,Rajasthan,Automatic,First Owner,2198,23000,176.367,15.295,0,0,0,0,0,20.5,25.43
24,Ford,Figo,2015,Diesel,5 Seats,Haryana,Manual,Second Owner,1399,100000,68.05,20.0,0,0,0,1,0,2.0,6.6
25,Maruti,Ignis,2017,Diesel,5 Seats,Punjab,Automatic,Second Owner,1248,77000,74.0,26.8,0,0,0,0,0,4.0,8.47
26,Skoda,Octavia,2013,Diesel,5 Seats,Unknown,Manual,First Owner,1968,103000,141.0,21.0,0,1,0,0,1,5.5,19.45
27,Chevrolet,Sail,2013,Diesel,5 Seats,Haryana,Manual,First Owner,1248,104000,74.0,22.1,0,0,0,0,0,1.7,7.61
28,Hyundai,Creta,2017,Diesel,5 Seats,Haryana,Manual,First Owner,1396,92000,88.7,21.38,0,0,1,0,0,6.75,13.01
29,Toyota,Etios,2012,Diesel,5 Seats,Haryana,Manual,First Owner,1364,122000,73.182,22.269,0,0,0,0,0,2.55,8.5
30,Volkswagen,Ameo,2018,Petrol,5 Seats,Unknown,Manual,First Owner,999,76000,75.0,19.44,0,0,0,0,0,3.75,7.49
31,Toyota,Etios,2014,Diesel,5 Seats,Rajasthan,Manual,Third Owner,1364,80000,67.04,23.59,0,0,0,0,0,3.25,8.12
32,Maruti,Swift,2023,Petrol,5 Seats,Punjab,Manual,First Owner,1197,38000,88.5,22.38,0,0,0,0,0,6.75,8.21
33,Hyundai,Exter,2024,Petrol,5 Seats,Punjab,Automatic,First Owner,1197,20000,81.8,19.2,1,1,1,0,0,9.1,11.24
34,Datsun,RediGO,2017,Petrol,5 Seats,Haryana,Manual,Second Owner,999,40000,67.0,22.5,0,0,0,1,0,1.59,4.31
35,Honda,Amaze,2014,Diesel,5 Seats,Haryana,Manual,First Owner,1498,115000,98.6,25.8,0,0,0,0,0,2.7,9.46
36,Toyota,Rumion,2024,Petrol,7 Seats,Rajasthan,Automatic,First Owner,1462,20000,101.64,18.927,1,0,1,0,0,13.0,14.24
37,Tata,Punch,2023,Petrol,5 Seats,Punjab,Manual,First Owner,1199,20000,87.0,20.09,1,0,0,0,0,5.6,7.14
38,Chevrolet,Beat,2010,Petrol,5 Seats,Gujarat,Manual,Third Owner,1199,100000,79.4,18.6,0,0,0,1,0,0.85,4.95
39,Hyundai,i20,2019,Diesel,5 Seats,Rajasthan,Manual,First Owner,1396,80000,88.76,22.54,0,1,1,0,0,7.49,11.17
40,Mahindra,XUV500,2017,Diesel,7 Seats,Gujarat,Manual,Second Owner,2179,104000,140.0,16.0,0,1,0,0,1,7.0,19.47
41,Maruti,Swift,2011,Petrol,5 Seats,Delhi,Manual,First Owner,1298,49700,88.369,16.1,0,0,0,1,0,2.55,4.92
42,Hyundai,Creta,2022,Petrol,5 Seats,Gujarat,Manual,First Owner,1497,64000,113.18,16.333,1,0,1,0,0,9.99,13.19
43,Volkswagen,Vento,2011,Diesel,5 Seats,Punjab,Manual,Third Owner,1598,160000,103.6,20.524,0,0,0,0,0,1.4,10.05
44,Toyota,Glanza,2024,Petrol,5 Seats,Punjab,Manual,First Owner,1197,10000,82.827,21.468,0,0,0,0,0,9.4,11.28
45,Honda,City,2015,Diesel,5 Seats,Punjab,Manual,Second Owner,1498,80000,102.507,21.661,0,0,0,0,0,4.75,12.29
46,Hyundai,Creta,2019,Diesel,5 Seats,Haryana,Manual,Second Owner,1396,81000,88.284,21.967,0,0,0,0,0,8.1,13.01
47,Hyundai,i20,2023,Petrol,5 Seats,Haryana,Manual,First Owner,1197,9400,83.89,17.76,0,0,0,0,0,6.85,8.45
48,Toyota,Etios,2013,Diesel,5 Seats,Rajasthan,Manual,Fourth Owner,1364,150000,73.348,22.231,0,0,0,0,0,2.6,8.05
49,Mahindra,Bolero,2014,Diesel,7 Seats,Rajasthan,Manual,First Owner,2523,175847,64.686,15.96,0,0,0,0,0,5.4,9.95
50,Mahindra,Bolero,2014,Diesel,7 Seats,Rajasthan,Manual,Third Owner,2523,196472,64.686,15.96,0,0,0,0,0,5.15,11.03
51,Honda,Amaze,2016,Diesel,5 Seats,Haryana,Manual,First Owner,1498,90000,102.311,21.971,0,0,0,0,0,2.95,8.99
52,Maruti,Vitara,2020,Petrol,5 Seats,Punjab,Automatic,Second Owner,1462,60000,103.202,17.902,0,0,0,0,0,7.8,13.23
53,Maruti,Vitara,2018,Diesel,5 Seats,Haryana,Automatic,Second Owner,1248,77000,87.966,24.358,0,0,0,0,0,6.25,9.99
54,Maruti,Swift,2020,Petrol,5 Seats,Haryana,Manual,First Owner,1197,65000,82.495,21.21,0,0,0,0,0,6.55,8.47
55,Hyundai,Verna,2014,Diesel,5 Seats,Uttar Pradesh,Manual,First Owner,1582,120000,126.3,22.373,0,0,0,0,0,4.0,11.87
56,Hyundai,Creta,2017,Diesel,5 Seats,Haryana,Manual,First Owner,1396,75000,88.281,21.917,0,0,0,0,0,6.25,11.86
57,Tata,Harrier,2021,Diesel,5 Seats,Rajasthan,Manual,First Owner,1956,50000,178.232,15.978,0,0,0,0,0,15.0,25.54
58,Tata,Nexon,2019,Diesel,5 Seats,Haryana,Manual,Second Owner,1497,71000,108.286,21.405,0,0,0,0,0,5.1,10.39
59,Mahindra,XUV500,2017,Diesel,7 Seats,Chandigarh,Manual,First Owner,2179,110000,140.078,15.93,0,0,0,0,0,6.9,19.82
60,Maruti,Swift,2012,Petrol,5 Seats,Delhi,Manual,First Owner,1197,84476,82.965,19.16,0,0,0,0,0,2.7,5.77
61,Mahindra,Thar,2025,Diesel,5 Seats,Haryana,Automatic,First Owner,2184,10000,156.531,15.234,0,0,0,0,0,27.1,27.13
62,Hyundai,Santro,2012,LPG,5 Seats,Punjab,Manual,Third Owner,1086,147000,62.1,10.76,0,0,0,1,0,1.0,4.71
63,Hyundai,Creta,2021,Diesel,5 Seats,Rajasthan,Manual,First Owner,1493,79000,113.125,18.669,0,0,0,0,0,11.0,14.28
64,Skoda,Superb,2015,Diesel,5 Seats,West Bengal,Automatic,First Owner,1968,96000,151.875,17.446,0,0,0,0,0,6.75,31.08
65,Honda,Mobilio,2014,Diesel,7 Seats,Haryana,Manual,Second Owner,1498,100000,102.136,21.689,0,0,0,0,0,3.5,10.16
66,Skoda,Octavia,2014,Diesel,5 Seats,Rajasthan,Manual,Second Owner,1968,90463,136.814,19.621,0,0,0,0,0,4.8,18.36
67,Maruti,Ciaz,2016,Diesel,5 Seats,Haryana,Manual,Second Owner,1248,80000,87.981,27.044,0,0,0,0,0,4.5,10.91
68,Mahindra,Scorpio,2023,Diesel,7 Seats,Rajasthan,Manual,First Owner,2198,73000,176.697,14.63,0,0,0,0,0,21.0,27.27
69,Skoda,Rapid,2017,Diesel,5 Seats,Haryana,Manual,First Owner,1498,92500,93.356,21.198,0,0,0,0,0,4.5,11.28
70,Hyundai,Venue,2020,Petrol,5 Seats,Haryana,Manual,First Owner,998,34000,81.529,17.74,0,0,0,0,0,7.1,10.15
71,Maruti,Swift,2011,Diesel,5 Seats,Delhi,Manual,Second Owner,1248,70808,75.026,22.292,0,0,0,0,0,2.65,7.79
72,Volkswagen,Jetta,2015,Diesel,5 Seats,Haryana,Manual,First Owner,1968,74000,143.474,19.483,0,0,0,0,0,4.95,19.73
73,Skoda,Laura,2011,Diesel,5 Seats,Haryana,Manual,Third Owner,1896,90000,130.841,16.966,0,0,0,0,0,3.25,17.47
74,Maruti,Wagon,2010,CNG,5 Seats,Delhi,Manual,Second Owner,998,90000,58.816,29.564,0,0,0,0,0,1.2,4.95
75,Mahindra,TUV,2016,Diesel,7 Seats,Haryana,Manual,First Owner,1493,70000,96.369,20.402,0,0,0,0,0,4.25,11.48
76,Maruti,Swift,2015,Diesel,5 Seats,Haryana,Manual,First Owner,1248,80000,82.334,25.559,0,0,0,0,0,4.0,8.05
77,Maruti,Swift,2012,Petrol,5 Seats,Delhi,Manual,First Owner,1197,70000,82.965,19.17,0,0,0,0,0,3.15,6.53
78,Mahindra,Scorpio,2020,Diesel,7 Seats,Haryana,Manual,First Owner,2179,47000,140.58,15.968,0,0,0,0,0,14.0,18.53
79,Ford,Fiesta,2010,Diesel,5 Seats,Delhi,Manual,First Owner,1399,100000,68.011,19.514,0,0,0,0,0,1.35,9.03
80,Maruti,Swift,2010,Diesel,5 Seats,Haryana,Manual,Second Owner,1248,250000,74.875,22.333,0,0,0,0,0,1.65,7.28
81,Hyundai,i10,2011,Petrol,5 Seats,Rajasthan,Manual,First Owner,1086,60000,68.847,19.935,0,0,0,0,0,1.8,5.27
82,Maruti,S Cross,2015,Diesel,5 Seats,Haryana,Manual,Second Owner,1248,80105,85.366,25.21,0,0,0,0,0,3.25,10.11
83,Honda,City,2015,Petrol,5 Seats,West Bengal,Manual,First Owner,1497,69000,119.921,17.993,0,0,0,0,0,5.5,10.05
84,Skoda,Octavia,2013,Diesel,5 Seats,Unknown,Manual,First Owner,1968,103000,135.873,19.695,0,0,0,0,0,5.5,19.45
85,Ford,Endeavour,2018,Diesel,7 Seats,Chandigarh,Automatic,First Owner,2198,126000,162.674,13.161,0,0,0,0,0,22.0,35.95
86,Hyundai,Creta,2016,Diesel,5 Seats,Rajasthan,Manual,Second Owner,1582,95000,126.2,19.67,0,1,0,0,1,7.5,15.2
87,Hyundai,Verna,2015,Diesel,5 Seats,Haryana,Manual,Second Owner,1582,108489,126.3,22.32,1,1,0,0,0,4.5,11.72
88,Chevrolet,Sail,2013,Diesel,5 Seats,Haryana,Manual,First Owner,1248,104000,74.0,22.1,0,0,0,0,0,1.7,7.61
89,Skoda,Fabia,2011,Petrol,5 Seats,Haryana,Manual,First Owner,1198,90000,73.9,16.25,0,0,0,1,0,1.9,5.0
90,Maruti,Ignis,2017,Diesel,5 Seats,Punjab,Automatic,Second Owner,1248,77000,74.0,26.8,0,0,0,0,0,4.0,8.47
91,Toyota,Etios,2017,Diesel,5 Seats,Punjab,Manual,Third Owner,1364,125000,67.05,23.59,0,0,0,0,0,3.25,9.06
92,Hyundai,Verna,2012,Diesel,5 Seats,Punjab,Manual,Second Owner,1396,92000,88.7,24.8,0,0,0,0,0,2.8,10.25
93,Hyundai,Creta,2017,Diesel,5 Seats,Haryana,Manual,First Owner,1396,92000,88.7,21.38,0,0,1,0,0,6.75,13.01
94,Toyota,Innova,2009,Diesel,8 Seats,Haryana,Manual,Second Owner,2494,109695,106.28,12.8,0,0,0,0,0,3.3,10.48
95,Ford,Ecosport,2013,Diesel,5 Seats,Rajasthan,Manual,Third Owner,1498,130000,89.84,22.7,0,0,0,0,0,2.5,9.61
96,Ford,Figo,2015,Diesel,5 Seats,Haryana,Manual,Second Owner,1399,100000,68.05,20.0,0,0,0,1,0,2.0,6.6
97,Mahindra,Thar,2022,Diesel,4 Seats,Haryana,Manual,First Owner,2184,52000,130.0,15.2,0,0,0,0,0,13.0,15.09
98,Skoda,Octavia,2015,Diesel,5 Seats,Haryana,Manual,First Owner,1968,80000,141.0,21.0,0,1,0,0,1,6.6,19.45
99,Maruti,Ciaz,2015,Diesel,5 Seats,Haryana,Manual,Second Owner,1248,92105,88.5,26.21,0,0,1,0,0,3.15,9.47
100,Maruti,Swift,2020,Petrol,5 Seats,Rajasthan,Manual,Second Owner,1197,154678,81.8,21.21,1,0,1,0,0,6.2,7.87
101,Maruti,Swift,2023,Petrol,5 Seats,Punjab,Manual,First Owner,1197,38000,88.5,22.38,0,0,0,0,0,6.75,8.21
102,Hyundai,Exter,2024,Petrol,5 Seats,Punjab,Automatic,First Owner,1197,20000,82.857,18.51,0,0,0,0,0,9.1,11.24
103,Tata,Altroz,2021,Petrol,5 Seats,Rajasthan,Manual,First Owner,1199,68000,86.83,19.33,0,1,1,0,0,6.5,10.61
104,Tata,Punch,2023,Petrol,5 Seats,Punjab,Manual,First Owner,1199,20000,87.0,20.09,1,0,0,0,0,5.6,7.14
105,Toyota,Rumion,2024,Petrol,7 Seats,Rajasthan,Automatic,First Owner,1462,20000,101.64,18.927,1,0,1,0,0,13.0,14.24
106,Datsun,RediGO,2017,Petrol,5 Seats,Haryana,Manual,Second Owner,999,40000,67.0,22.5,0,0,0,1,0,1.59,4.31
107,Maruti,800,2007,Petrol,4 Seats,Punjab,Manual,First Owner,796,55000,37.0,16.1,0,0,0,0,0,0.85,2.65
108,Toyota,Fortuner,2011,Diesel,7 Seats,Chandigarh,Manual,Third Owner,2982,135000,169.761,11.5,0,1,0,0,1,5.5,24.8
109,Honda,Amaze,2014,Diesel,5 Seats,Haryana,Manual,First Owner,1498,115000,98.6,25.8,0,0,0,0,0,2.7,9.46
110,Mahindra,Scorpio,2016,Diesel,7 Seats,Haryana,Manual,Second Owner,2179,104000,120.0,15.4,0,1,0,0,1,9.3,15.72
111,Toyota,Urban,2021,Petrol,5 Seats,Haryana,Manual,First Owner,1462,50000,103.26,17.03,1,1,0,0,0,8.0,11.28
112,Maruti,Grand,2024,Petrol,5 Seats,Punjab,Automatic,First Owner,1490,30000,91.18,27.97,0,1,0,0,0,18.0,21.57
113,Kia,Sonet,2024,Petrol,5 Seats,Gujarat,Manual,First Owner,1197,20000,81.8,18.4,1,1,1,0,0,9.5,11.76
114,Chevrolet,Beat,2010,Petrol,5 Seats,Gujarat,Manual,Third Owner,1199,100000,79.4,18.6,0,0,0,1,0,0.85,4.95
115,Volkswagen,Vento,2012,Diesel,5 Seats,Rajasthan,Manual,First Owner,1598,155000,103.6,20.54,1,1,1,0,0,1.85,12.73
116,Hyundai,Venue,2023,Petrol,5 Seats,Gujarat,Manual,First Owner,1197,4200,82.471,19.097,0,0,0,0,0,8.99,11.08
117,Audi,Q2,2022,Petrol,5 Seats,Rajasthan,Automatic,First Owner,1984,40000,228.546,14.799,0,0,0,0,0,30.0,47.76
118,Ford,Ecosport,2017,Diesel,5 Seats,Gujarat,Manual,Second Owner,1498,85000,104.116,22.626,0,0,0,0,0,4.4,11.08
119,Hyundai,Exter,2023,Petrol,5 Seats,Gujarat,Manual,First Owner,1197,61000,82.469,18.699,0,0,0,0,0,7.2,8.6
120,Maruti,Swift,2011,Petrol,5 Seats,Delhi,Manual,First Owner,1298,49700,81.366,18.039,0,0,0,0,0,2.55,4.92
121,Maruti,Vitara,2021,Petrol,5 Seats,Gujarat,Manual,First Owner,1462,78000,102.957,17.78,0,0,0,0,0,6.99,8.72
122,Hyundai,Creta,2022,Petrol,5 Seats,Gujarat,Manual,First Owner,1497,64000,113.397,16.366,0,0,0,0,0,9.99,13.19
123,Mahindra,XUV500,2017,Diesel,7 Seats,Gujarat,Manual,Second Owner,2179,104000,140.0,16.0,0,1,0,0,1,7.0,19.47
124,Hyundai,EON,2017,Petrol,5 Seats,Gujarat,Manual,First Owner,814,79972,55.2,21.1,0,0,0,0,0,2.8,4.29
125,MG,Hector,2021,Petrol,5 Seats,Rajasthan,Manual,First Owner,1451,25000,142.442,12.236,0,0,0,0,0,14.2,22.22
126,Maruti,Baleno,2021,Petrol,5 Seats,Gujarat,Manual,First Owner,1197,32500,81.8,21.01,0,0,0,0,0,5.35,6.86
127,Honda,City,2016,Petrol,5 Seats,Gujarat,Manual,Second Owner,1497,79000,117.3,17.8,1,1,1,0,0,4.5,11.51
128,Kia,Seltos,2023,Petrol,5 Seats,Gujarat,Manual,First Owner,1497,51000,113.42,17.0,0,1,0,0,1,14.5,17.62
129,Maruti,XL6,2019,Petrol,6 Seats,Gujarat,Manual,First Owner,1462,85700,103.2,19.01,1,1,1,0,0,8.45,11.34
130,Maruti,Swift,2010,Petrol,5 Seats,Delhi,Manual,First Owner,1298,49695,85.8,17.5,0,0,0,0,0,2.55,6.48
131,Tata,Harrier,2023,Diesel,5 Seats,Gujarat,Manual,Second Owner,1956,40000,170.816,15.524,0,0,0,0,0,14.5,21.0
132,Tata,Altroz,2020,Petrol,5 Seats,Gujarat,Manual,First Owner,1199,79000,85.641,19.588,0,0,0,0,0,5.25,7.25
133,Hyundai,i20,2021,Petrol,5 Seats,Gujarat,Manual,Second Owner,1197,27724,82.47,18.606,0,0,0,0,0,7.25,8.98
134,Honda,City,2016,Diesel,5 Seats,Gujarat,Manual,Second Owner,1498,86700,102.161,21.672,0,0,0,0,0,4.25,12.92
135,Honda,Brio,2012,Petrol,5 Seats,Uttar Pradesh,Manual,First Owner,1198,96000,86.8,19.4,0,0,0,1,0,2.5,5.41
136,Hyundai,Grand,2019,CNG,5 Seats,Gujarat,Manual,First Owner,1197,80000,65.39,18.9,0,0,1,0,0,5.45,7.31
137,Maruti,Brezza,2023,CNG,5 Seats,Gujarat,Manual,First Owner,1462,40000,86.63,25.51,1,1,1,0,0,9.5,11.96
138,Maruti,Vitara,2019,Diesel,5 Seats,Gujarat,Manual,Second Owner,1248,65000,88.5,24.3,1,0,0,0,1,6.1,8.57
139,Maruti,Wagon,2020,Petrol,5 Seats,Gujarat,Manual,First Owner,1197,68000,81.8,20.52,0,0,0,1,0,5.11,6.41
140,Maruti,Alto,2020,Petrol,5 Seats,Gujarat,Manual,First Owner,796,41700,47.33,22.05,0,0,0,0,0,3.3,4.39
141,Tata,Altroz,2020,Petrol,5 Seats,Gujarat,Manual,First Owner,1199,72500,84.88,19.05,0,0,0,0,0,5.25,7.25
142,Mercedes Benz,E-Class,2023,Diesel,5 Seats,Gujarat,Automatic,First Owner,1950,20000,201.343,13.779,0,0,0,0,0,63.0,85.62
143,Hyundai,Grand,2024,CNG,5 Seats,Rajasthan,Manual,First Owner,1197,25000,68.0,27.0,0,0,1,0,0,8.7,9.95
144,Hyundai,Grand,2016,Petrol,5 Seats,Gujarat,Manual,First Owner,1197,57000,82.0,18.9,0,0,0,1,0,4.1,6.58
145,Hyundai,Verna,2018,Petrol,5 Seats,Gujarat,Manual,First Owner,1591,65000,121.3,17.0,1,1,1,0,0,6.5,13.28
146,Volkswagen,Polo,2013,Petrol,5 Seats,Gujarat,Manual,First Owner,1198,107000,73.9,16.47,0,1,0,0,0,3.65,7.02
147,Hyundai,i20,2015,Petrol,5 Seats,Gujarat,Manual,Second Owner,1197,65000,81.83,18.6,0,1,1,0,0,4.6,7.7
148,Maruti,Wagon,2018,Petrol,5 Seats,Gujarat,Manual,Second Owner,998,85000,67.04,20.51,0,0,0,0,0,3.4,5.31
149,Toyota,Innova,2017,Diesel,7 Seats,Delhi,Manual,First Owner,2393,134000,147.8,14.484,0,1,1,0,0,14.0,24.71
150,Nissan,Micra,2018,Petrol,5 Seats,Gujarat,Manual,First Owner,1198,50000,81.562,20.844,0,0,0,0,0,2.25,5.64
151,Maruti,Swift,2023,Petrol,5 Seats,Gujarat,Manual,First Owner,1197,33000,82.534,21.715,0,0,0,0,0,6.6,7.96
152,Hyundai,Creta,2018,Diesel,5 Seats,Gujarat,Manual,First Owner,1396,85900,88.281,21.952,0,0,0,0,0,8.5,12.77
153,Hyundai,Grand,2017,Petrol,5 Seats,Gujarat,Manual,Second Owner,1197,68000,82.476,18.837,0,0,0,0,0,4.65,7.42
154,Mahindra,TUV,2018,Diesel,7 Seats,Gujarat,Manual,First Owner,1493,75000,101.09,18.48,0,0,0,0,0,6.4,11.44
155,Honda,Brio,2011,Petrol,5 Seats,Gujarat,Manual,Second Owner,1198,56753,86.8,19.4,0,0,0,1,0,2.51,5.78
156,Hyundai,Creta,2017,Diesel,5 Seats,Gujarat,Manual,Second Owner,1396,85900,88.281,21.906,0,0,0,0,0,7.4,12.77
157,Hyundai,Creta,2023,Diesel,5 Seats,Gujarat,Manual,First Owner,1493,53007,113.428,18.815,0,0,0,0,0,14.75,18.17
158,Honda,City,2010,Petrol,5 Seats,Delhi,Manual,First Owner,1497,45000,113.814,17.0,0,0,0,0,0,2.55,9.34
159,Maruti,Alto,2021,Petrol,5 Seats,Gujarat,Manual,First Owner,796,55000,47.33,22.05,0,0,0,0,0,3.35,4.39
160,Toyota,Etios,2011,Petrol,5 Seats,Delhi,Manual,First Owner,1496,49500,88.73,17.6,0,0,0,0,0,2.55,6.51
161,Hyundai,Verna,2016,Diesel,5 Seats,Gujarat,Manual,Second Owner,1582,90000,126.2,23.9,1,1,0,0,0,6.35,12.16
162,Honda,City,2010,Petrol,5 Seats,Gujarat,Manual,Second Owner,1497,45858,113.811,17.0,0,0,0,0,0,2.25,8.52
163,Maruti,Vitara,2019,Diesel,5 Seats,Gujarat,Manual,Second Owner,1248,69000,88.5,24.3,1,0,0,0,1,7.5,9.29
164,Hyundai,Grand,2019,CNG,5 Seats,Gujarat,Manual,First Owner,1197,70000,65.39,18.9,0,0,1,0,0,5.85,7.31
165,Hyundai,i20,2020,Petrol,5 Seats,Gujarat,Manual,First Owner,1197,67250,81.86,18.6,0,0,1,0,0,5.45,7.09
166,Maruti,Celerio,2017,Petrol,5 Seats,Gujarat,Manual,Second Owner,998,71000,67.04,23.1,0,0,0,1,0,3.5,5.23
167,Maruti,Ertiga,2016,Diesel,7 Seats,Gujarat,Manual,Second Owner,1248,78363,88.5,24.52,1,0,1,0,0,6.8,11.59
168,Hyundai,Creta,2016,Diesel,5 Seats,Delhi,Manual,First Owner,1582,72541,126.2,18.672,0,0,0,0,0,7.45,15.2
169,Hyundai,Creta,2017,Diesel,5 Seats,Delhi,Manual,Second Owner,1396,70000,88.7,21.38,0,0,1,0,0,7.0,13.66
170,Mahindra,XUV500,2017,Diesel,7 Seats,Gujarat,Manual,Second Owner,2179,78900,140.0,16.0,0,1,0,0,1,6.25,19.47
171,Kia,Sonet,2022,Diesel,5 Seats,Andhra Pradesh,Manual,First Owner,1493,95000,98.63,18.4,0,1,0,0,0,9.9,15.02
172,Maruti,Wagon,2020,Petrol,5 Seats,Andhra Pradesh,Manual,First Owner,998,65000,68.449,21.379,0,0,0,0,0,4.8,6.54
173,Hyundai,Venue,2021,Diesel,5 Seats,Andhra Pradesh,Manual,First Owner,1493,113000,109.242,24.366,0,0,0,0,0,9.1,11.89
174,MG,Gloster,2021,Diesel,6 Seats,Andhra Pradesh,Automatic,First Owner,1996,130000,205.086,12.313,0,0,0,0,0,26.0,48.78
175,Maruti,Ertiga,2021,Petrol,7 Seats,Andhra Pradesh,Manual,First Owner,1462,94200,103.003,19.621,0,0,0,0,0,8.75,10.62
176,Renault,KWID,2018,Petrol,5 Seats,Andhra Pradesh,Manual,First Owner,999,33000,68.929,21.714,0,0,0,0,0,3.8,5.09
177,Hyundai,Verna,2018,Petrol,5 Seats,Andhra Pradesh,Manual,First Owner,1591,115000,122.544,17.889,0,0,0,0,0,7.5,11.49
178,Toyota,Innova,2019,Diesel,7 Seats,Andhra Pradesh,Manual,First Owner,2393,140000,164.373,14.167,0,0,0,0,0,19.0,25.57
179,Honda,Amaze,2024,Petrol,5 Seats,Andhra Pradesh,Automatic,First Owner,1199,10000,87.926,18.58,0,0,0,0,0,9.0,11.72
180,Maruti,Alto,2021,Petrol,5 Seats,Andhra Pradesh,Manual,Second Owner,796,52000,47.33,22.05,0,0,0,1,0,3.8,5.24
181,Maruti,Ertiga,2019,Diesel,7 Seats,Andhra Pradesh,Manual,First Owner,1248,120000,87.981,24.949,0,0,0,0,0,10.0,11.38
182,Hyundai,i20,2020,Petrol,5 Seats,Andhra Pradesh,Manual,First Owner,1197,120000,81.86,18.6,0,0,1,0,0,6.75,8.81
183,Mahindra,Bolero,2020,Diesel,7 Seats,Andhra Pradesh,Manual,First Owner,1493,80000,74.96,16.0,1,0,0,0,0,8.0,13.25
184,Maruti,Vitara,2018,Diesel,5 Seats,Andhra Pradesh,Manual,First Owner,1248,108000,88.5,24.3,1,0,0,0,1,7.9,10.21
185,Maruti,Ciaz,2020,Petrol,5 Seats,Andhra Pradesh,Manual,Second Owner,1462,113000,103.25,21.56,1,1,1,0,0,8.3,11.86
186,MG,Hector,2021,Petrol,6 Seats,Andhra Pradesh,Automatic,First Owner,1451,82000,141.0,11.67,0,1,0,0,0,13.0,25.25
187,Hyundai,Creta,2019,Diesel,5 Seats,Andhra Pradesh,Automatic,Third Owner,1582,73000,126.2,17.6,0,1,0,0,1,12.5,18.88
188,Renault,KWID,2016,Petrol,5 Seats,Andhra Pradesh,Manual,Third Owner,999,65000,68.893,21.499,0,0,0,0,0,2.8,4.77
