,brand,model,registration_year,fuel_type,seats,rto_state,transmission_type,ownership,engine(cc),kms_driven,engine_power(bhp),mileage(kmpl),has_parking_sensors,has_automatic_climate_control,has_rear_ac_vents,has_central_locking,has_air_purifier,vehicle_price(lakhs),new_vehicle_price(lakhs)
2418,Nissan,Magnite,2024,Petrol,5 Seats,Unknown,Manual,First Owner,999,6000,71.01,19.35,1,0,0,0,1,6.99,7.12
2419,Maruti,Ignis,2017,Petrol,5 Seats,Karnataka,Manual,First Owner,1197,80000,81.8,20.89,0,0,0,1,0,3.5,6.52
2420,Maruti,Swift,2016,Petrol,5 Seats,Unknown,Manual,First Owner,1197,160000,81.8,22.0,0,1,0,0,0,5.5,8.04
2421,Toyota,Fortuner,2025,Diesel,7 Seats,Unknown,Manual,First Owner,2755,12000,201.15,12.923,0,1,0,0,0,7.0,61.94
2422,Hyundai,i20,2024,Petrol,5 Seats,Maharashtra,Automatic,Third Owner,998,13000,118.0,20.0,0,1,1,0,0,12.5,16.04
2423,Hyundai,Grand,2021,Petrol,5 Seats,Karnataka,Manual,Second Owner,1197,50000,81.86,20.7,0,1,1,0,0,5.5,7.63
2424,Hyundai,Venue,2022,Petrol,5 Seats,Telangana,Manual,First Owner,1197,20000,81.8,16.0,1,0,1,0,0,8.0,10.63
2425,Maruti,Swift,2016,Diesel,5 Seats,Delhi,Automatic,First Owner,1248,66000,74.0,26.59,1,1,0,0,0,5.0,9.83
2426,Honda,City,2014,Petrol,5 Seats,Chandigarh,Manual,Second Owner,1497,109000,119.776,17.952,0,0,0,0,0,3.9,10.18
2427,Hyundai,Creta,2016,Diesel,5 Seats,Chandigarh,Manual,First Owner,1582,85000,126.2,18.798,0,0,0,0,0,6.9,16.99
2428,BMW,X1,2012,Diesel,5 Seats,Chandigarh,Automatic,Second Owner,1995,100000,169.93,16.108,0,0,0,0,0,6.9,38.69
2429,Audi,A6,2015,Diesel,5 Seats,Chandigarh,Automatic,First Owner,1968,28000,184.997,15.973,0,0,0,0,0,14.75,64.88
2430,Audi,A6,2016,Diesel,5 Seats,Haryana,Automatic,First Owner,1968,68000,177.036,17.178,0,0,0,0,0,14.5,64.88
2431,Hyundai,Creta,2018,Petrol,5 Seats,Haryana,Manual,First Owner,1591,70000,122.641,16.276,0,0,0,0,0,8.9,10.74
2432,Maruti,Ertiga,2016,Diesel,7 Seats,Delhi,Manual,Second Owner,1248,90000,88.5,24.52,1,0,1,0,0,4.8,11.04
